track,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Lavender Haze,Taylor Swift,24emu3sabKISjRkrys28jq,0.735,0.454,7,-10.516,0,0.0876,0.236,0.00113,0.133,0.0751,97.043
Maroon,Taylor Swift,6qxvy9Pe4RJIq5JBVbbwbS,0.65,0.397,7,-8.237,1,0.0365,0.0609,1.4e-06,0.089,0.0382,108.055
Anti-Hero,Taylor Swift,5qIHFdkW6phMsTZlN2g8Lc,0.637,0.649,4,-6.59,1,0.0584,0.115,1.22e-06,0.147,0.497,96.935
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,7GA86Uo2jYbj8vIXe2nyWd,0.653,0.331,9,-13.534,1,0.039,0.705,0.0013,0.116,0.166,110.014
"You're On Your Own, Kid",Taylor Swift,6PQOU00xWNrGwCZzboriXy,0.694,0.386,2,-10.312,1,0.0597,0.423,1.05e-05,0.126,0.39,120.044
Midnight Rain,Taylor Swift,4eKMqf9ZMSclDX7V9Ptg7x,0.654,0.372,0,-11.704,1,0.0667,0.705,6.78e-05,0.114,0.198,140.15
Question...?,Taylor Swift,7oomkQSYf1ia2VnVEWfFIU,0.741,0.509,7,-8.747,1,0.19,0.205,0.0,0.262,0.113,108.978
Vigilante Shit,Taylor Swift,0GKDhq6ZbmSbRHd3eyGlB7,0.867,0.272,4,-11.014,0,0.363,0.157,3.42e-05,0.118,0.157,79.962
Bejeweled,Taylor Swift,0VpF6RLdCfPIeYRwMu4tZK,0.695,0.546,7,-9.184,1,0.066,0.0648,0.000128,0.0883,0.425,164.0
Labyrinth,Taylor Swift,4bBDkw2KBMX0tcgAaXC83Q,0.493,0.308,0,-15.489,1,0.0436,0.804,0.328,0.123,0.13,109.993
Karma,Taylor Swift,45R112Jz5hQeKgITXgSXzs,0.647,0.614,8,-7.091,1,0.0651,0.0782,0.0,0.611,0.0956,90.034
Sweet Nothing,Taylor Swift,2L09RYwH5Pjzca6PmbUAw3,0.335,0.166,0,-14.958,1,0.048,0.967,0.00012,0.115,0.391,175.917
Mastermind,Taylor Swift,1QQii3pa5m8MEda0nbkjfw,0.661,0.345,4,-14.037,1,0.144,0.545,0.000915,0.0871,0.126,125.977
The Great War,Taylor Swift,2VuqMjgoKaOHNM8HpxtXKx,0.573,0.737,5,-9.002,1,0.0352,0.203,2.78e-05,0.0851,0.592,96.009
Bigger Than The Whole Sky,Taylor Swift,71CBDRKmF2VeRKYMG1DFBh,0.48,0.22,6,-12.469,1,0.0425,0.837,0.00269,0.116,0.0633,82.951
